,,,,Fine motor experience,,,Gross motor experience,,,,
Participant,Gender,Age,Group,Craft,Years Exp,Ability,Craft,Years Exp,Ability,Education,Lithic Familiarity
1,M,32,exp,None,0,NA,None,0,NA,Masters,0
2,F,20,exp,Beading ,1,1,None,0,NA,Undergraduate,0
3,F,26,exp,Crocheting,3,2,None,0,NA,Undergraduate,3
4,F,35,exp,Knitting,30,5,Carpentry,10,3,PhD,2
5,F,43,exp,Knitting,1,1,None,0,NA,Masters,0
6,M,44,exp,Painting,20,3,Carpentry,20,5,Masters,3
7,F,34,exp,Knitting,10,4,None,0,NA,Undergraduate,0
8,F,21,exp,Sewing,2,2,None,0,NA,Undergraduate,0
9,F,27,exp,None,0,NA,Carpentry,0.5,1,Masters,0
10,F,21,exp,Knitting,5,3,None,0,NA,Undergraduate,3
11,M,42,exp,Painting,11,3,Carpentry,16,3,Undergraduate,0
12,F,23,exp,None,0,NA,None,0,NA,Undergraduate,0
13,F,17,exp,Painting,8,3,None,0,NA,High school,1
14,M,48,exp,None,0,NA,Carpentry,35,3,Masters,0
15,F,30,exp,Painting,15,0,None,0,NA,Masters,3
16,M,46,exp,Painting,3,3,Carpentry,30,4,Undergraduate,1
17,F,28,exp,Sewing,5,1,None,0,NA,Undergraduate,3
18,F,42,exp,Sewing,11,3,None,0,NA,Masters,0
19,F,22,exp,None,0,,None,0,NA,Masters,3
20,M,36,exp,Weaving,1,1,None,0,NA,High school,0
21,M,22,exp,None,0,NA,Sculpture/Pottery,7,0,Undergraduate,3
22,F,23,con,None,0,NA,None,0,NA,NA,NA
23,F,21,con,None,0,NA,None,0,NA,NA,NA
24,F,41,con,Beading,15,4,Carpentry,3,2,Masters,0
25,F,16,con,None,0,NA,Sculpture/Pottery,2,3,High school,0
26,F,23,con,None,0,NA,Pottery/Sculpture,2,2,NA,NA
27,F,19,con,Sewing,5,2,None,0,NA,Undergraduate,1
28,F,20,con,None,0,NA,None,0,NA,NA,NA
29,F,25,con,Knitting,1,1,None,0,NA,Undergraduate,0
30,F,25,con,Sewing,6,2,Carpentry,3,1,Undergraduate,0
31,F,37,con,Painting,21,5,Sculpture/Pottery,21,3,Undergraduate,0
32,M,29,con,None,0,NA,None,0,NA,Undergraduate,1
33,F,21,con,None,0,NA,None,0,NA,NA,NA
34,M,22,con,None,0,Na,None,0,NA,High school,1
35,F,35,con,Painting,7,3,None,0,NA,Masters,0
37,F,20,con,None,0,NA,None,0,NA,NA,NA
38,F,22,con,None,0,NA,None,0,NA,NA,NA